x y
0.533545 0.306433
0.222575 0.471023
0.713953 0.008879
0.280284 0.156025
0.346499 0.635872
0.495271 0.004201
0.980861 0.243344
0.839097 0.313309
0.227570 0.708675
0.392632 0.939573
0.608318 0.384713
0.118874 0.785458
0.454847 0.856908
0.886396 0.614331
0.389790 0.868394
0.385847 0.587334
0.181443 0.518163
0.415705 0.855971
0.029180 0.217622
0.038738 0.061459
0.248008 0.522823
0.654078 0.569360
0.544985 0.665239
0.201571 0.397370
0.976629 0.355125
0.921110 0.766419
0.463409 0.527936
0.808956 0.052919
0.219904 0.855753
0.848586 0.562482
0.145059 0.323407
0.961881 0.263787
0.051419 0.218593
0.586746 0.486918
0.152147 0.604617
0.513814 0.278070
0.251480 0.847783
0.427361 0.729134
0.480307 0.182860
0.454146 0.341649
0.757907 0.499658
0.725451 0.335260
0.440532 0.483373
0.226010 0.365905
0.186188 0.820824
0.287895 0.152844
0.355939 0.353358
0.390641 0.286197
0.049621 0.938916
0.861802 0.078823
0.020451 0.952463
0.939788 0.307840
0.273146 0.675630
0.633039 0.402723
0.288318 0.855625
0.720499 0.589319
0.418441 0.804719
0.538310 0.957065
0.997747 0.790850
0.214567 0.242334
0.853757 0.137128
0.000595 0.739550
0.973527 0.778818
0.174906 0.131581
0.092249 0.855226
0.769615 0.491041
0.183388 0.299585
0.373437 0.764054
0.638225 0.978395
0.384543 0.492156
0.612855 0.402465
0.667015 0.867506
0.268766 0.217902
0.678275 0.660090
0.835998 0.715196
0.256238 0.387606
0.984112 0.380890
0.783022 0.088810
0.145259 0.817549
0.367943 0.393470
0.626536 0.196848
0.549867 0.479413
0.995648 0.754401
0.490031 0.624554
0.303545 0.700064
0.448607 0.284755
0.763145 0.532423
0.872070 0.507006
0.485727 0.688774
0.923031 0.571169
0.395416 0.420262
0.198588 0.160275
0.056512 0.302213
0.196058 0.047595
0.026122 0.025366
0.161761 0.345397
0.053662 0.147329
0.181036 0.393284
0.460190 0.150679
0.632052 0.508248
0.066606 0.505533
0.942829 0.975729
0.548147 0.365768
0.707381 0.542820
0.322067 0.617418
0.609394 0.607838
0.914723 0.716713
0.896938 0.107950
0.723660 0.905731
0.092001 0.000629
0.631777 0.597301
0.434978 0.388964
0.154189 0.457801
0.317682 0.525358
0.429271 0.675291
0.042724 0.368807
0.891830 0.324881
0.525251 0.707350
0.347341 0.860073
0.868877 0.900261
0.838094 0.107203
0.233767 0.521067
0.450707 0.762953
0.256970 0.096977
0.967204 0.486911
0.464761 0.502158
0.367653 0.453307
0.817827 0.113037
0.910641 0.646623
0.899377 0.859802
0.859178 0.050663
0.486707 0.366224
0.607305 0.687172
0.985683 0.406969
0.047805 0.818764
0.007890 0.806567
0.335346 0.021688
0.518575 0.607892
0.213802 0.393847
0.846063 0.974528
0.676890 0.893932
0.478851 0.944548
0.065176 0.846523
0.843031 0.600640
0.178859 0.978723
0.440582 0.709036
0.653710 0.578486
0.674153 0.243683
0.953859 0.403707
0.455550 0.495628
0.562496 0.177149
0.175064 0.833386
0.095952 0.323835
0.914443 0.351645
0.222157 0.330320
0.086177 0.756283
0.362447 0.594375
0.096137 0.056933
0.654131 0.241247
0.477952 0.390253
0.068979 0.353261
0.435863 0.790391
0.548710 0.588701
0.783414 0.554272
0.301763 0.614176
0.576608 0.106497
0.434042 0.664394
0.663611 0.207397
0.291009 0.549159
0.223033 0.665325
0.764962 0.093739
0.488809 0.575504
0.579390 0.516492
0.816359 0.126877
0.472488 0.531312
0.627654 0.306633
0.028258 0.189692
0.662335 0.202139
0.974980 0.387055
0.097068 0.249599
0.223396 0.120874
0.422169 0.503457
0.000108 0.358444
0.179059 0.333362
0.430476 0.106945
0.615878 0.811425
0.741912 0.810816
0.723353 0.512547
0.018563 0.561164
0.149326 0.749001
0.133904 0.660395
0.889675 0.216410
0.595789 0.902354
0.013986 0.810289
0.844978 0.982439
0.138033 0.481095
0.309498 0.783761
0.601606 0.230479
0.779109 0.906367
0.265436 0.452630
0.181697 0.463913
0.309161 0.677557
0.627487 0.592657
0.862434 0.408042
0.160666 0.508246
0.464631 0.265620
0.763367 0.469949
0.931380 0.712560
0.411115 0.466222
0.750092 0.537764
0.858496 0.769379
0.178012 0.335739
0.338449 0.880093
0.949570 0.735881
0.072899 0.125934
0.183031 0.371310
0.039985 0.051558
0.476837 0.008941
0.207237 0.561967
0.758203 0.330889
0.009137 0.557974
0.371254 0.901235
0.603669 0.184488
0.072636 0.250943
0.864503 0.766053
0.407514 0.346119
0.438002 0.859197
0.842396 0.134182
0.586449 0.156791
0.691164 0.967485
0.052529 0.867063
0.518046 0.033396
0.467389 0.479006
0.073166 0.853026
0.329962 0.441122
0.669783 0.601419
0.683797 0.008880
0.448063 0.206855
0.955699 0.636329
0.320697 0.511601
0.330962 0.211635
0.792801 0.356354
0.275069 0.649531
0.424517 0.880484
0.427207 0.156410
0.250871 0.598744
0.190859 0.883012
0.967382 0.663562
0.739462 0.378952
0.124823 0.389241
0.137309 0.719546
0.617120 0.001685
0.071665 0.472970
